cal_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
turtles-elenore,0.63,0.625,4,-8.407,1,0.0375,0.6,1.52e-05,0.24,0.887,122.504,4
u2-hold_me_thrill_me_kiss_me_kill_me,0.368,0.852,10,-6.978,0,0.0433,7.47e-05,0.258,0.218,0.347,171.692,4
ultravox-dancing_with_tears_in_my_eyes,0.592,0.916,9,-6.9,1,0.0482,0.0856,9.27e-05,0.161,0.886,144.262,4
uncle_tupelo-the_long_cut,0.445,0.802,7,-8.705,1,0.0331,0.000813,0.057,0.118,0.563,130.387,4
urge_overkill-sister_havana,0.591,0.803,5,-8.874,1,0.0325,0.000983,0.0537,0.0659,0.729,136.769,4
utopia_banished-by_mourning,0.237,0.982,4,-6.984,0,0.225,2.51e-06,0.657,0.0632,0.181,139.009,3
van_halen-aint_talkin_bout_love,0.518,0.938,8,-5.964,0,0.0416,0.021,0.000305,0.288,0.71,139.138,4
van_morrison-and_it_stoned_me,0.593,0.468,7,-11.165,1,0.0285,0.35,3.52e-05,0.0919,0.597,75.798,4
vapors-turning_japanese,0.503,0.803,0,-9.701,1,0.0485,0.01,0.0648,0.292,0.941,179.007,4
velvet_underground-new_age,0.355,0.34,2,-11.488,1,0.0263,0.284,5.59e-05,0.104,0.19,80.273,4
violent_femmes-blister_in_the_sun,0.726,0.537,0,-8.896,1,0.113,0.316,0.0,0.0707,0.887,96.91,4
war-all_day_music,0.488,0.48,4,-11.91,0,0.0313,0.156,0.00144,0.685,0.558,107.261,4
weezer-buddy_holly,0.556,0.92,8,-4.606,1,0.0367,0.00271,0.00021,0.117,0.771,121.138,4
wes_montgomery-bumpin,0.759,0.247,4,-19.827,0,0.0521,0.875,0.432,0.0978,0.443,107.601,4
white_stripes-hotel_yorba,0.385,0.791,7,-2.647,1,0.0949,0.454,0.0,0.0755,0.764,194.638,4
whitney_houston-how_will_i_know,0.832,0.544,6,-12.697,1,0.0442,0.201,0.000139,0.632,0.928,119.49,4
who-bargain,0.452,0.888,3,-7.994,1,0.054,0.0169,0.00341,0.17,0.336,133.883,4
wicked_boy-pressure,0.649,0.79,9,-7.514,1,0.0613,0.000902,0.872,0.171,0.174,130.038,4
wilco-kingpin,0.624,0.535,0,-7.879,1,0.0349,0.149,0.256,0.184,0.549,140.135,4
williamson-whats_on_the_ceiling_beats_whats_on_tv,0.917,0.433,11,-14.653,1,0.0638,0.198,0.864,0.112,0.346,114.411,4
xtc-love_at_first_sight,0.764,0.815,7,-5.26,1,0.0604,0.0121,0.00167,0.138,0.679,116.121,4
yakshi-chandra,0.647,0.184,10,-14.672,1,0.0512,0.973,0.934,0.0906,0.0566,111.442,4
yeah_yeah_yeahs-maps,0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783,4
yes-leave_it,0.663,0.898,5,-4.828,1,0.0425,0.528,0.000216,0.27,0.628,100.033,4
yo_la_tengo-tom_courtenay,0.249,0.611,9,-7.431,1,0.0397,0.57,0.675,0.0902,0.3,124.864,4
young_mc-bust_a_move,0.946,0.772,4,-7.537,0,0.121,0.0512,2.26e-06,0.0612,0.743,116.972,4
young_rascals-baby_lets_wait,0.26,0.327,7,-15.096,0,0.0315,0.409,0.0,0.405,0.498,84.049,4
zapp-dance_floor,0.868,0.802,0,-7.831,1,0.053,0.151,0.0032,0.0667,0.905,110.536,4
zombies-beechwood_park,0.372,0.486,3,-9.526,1,0.0417,0.882,0.00166,0.17,0.385,145.0,4
